#Chabrier 2019 EOS table for H and He mixture with Y = 0.2423 and X = 1 - Y. Nonideal effects from Howard 2023 are also accounted for 
T[K]	P[dyne_cm-2]	rho[g_cm-3]
100.0	10.0	2.0423573521973643e-09
100.0	11.220184543019654	2.1068758412297836e-09
100.0	12.589254117941662	3.169837309143265e-09
100.0	14.125375446227554	3.945597514058713e-09
100.0	15.84893192461111	4.550169318258188e-09
100.0	17.78279410038923	5.0961726034720734e-09
100.0	19.95262314968883	5.650689544725203e-09
100.0	22.387211385683376	6.267522484347145e-09
100.0	25.11886431509582	6.9813152215558265e-09
100.0	28.183829312644495	7.797669658070394e-09
100.0	31.622776601683796	8.726335989891088e-09
100.0	35.481338923357605	9.780093489965047e-09
100.0	39.81071705534969	1.0971156958683605e-08
100.0	44.66835921509635	1.2309958519001054e-08
100.0	50.118723362727145	1.3811956518097581e-08
100.0	56.23413251903491	1.5497270103321774e-08
100.0	63.09573444801943	1.7388223047229113e-08
100.0	70.79457843841374	1.9509907146509817e-08
100.0	79.43282347242823	2.1890475860101764e-08
100.0	89.12509381337442	2.4561517888485823e-08
100.0	100.0	2.755847633654888e-08
100.0	112.2018454301963	3.092111902205179e-08
100.0	125.89254117941661	3.469406617040964e-08
100.0	141.25375446227554	3.892738249797304e-08
100.0	158.48931924611142	4.367724154039702e-08
100.0	177.82794100389228	4.900667104132975e-08
100.0	199.52623149688787	5.498638929227758e-08
100.0	223.87211385683378	6.169574352136741e-08
100.0	251.1886431509582	6.922376278285499e-08
100.0	281.8382931264455	7.767033931858475e-08
100.0	316.2277660168379	8.714755406734743e-08
100.0	354.8133892335753	9.778116391084193e-08
100.0	398.10717055349687	1.0971227039108992e-07
100.0	446.6835921509635	1.2309919204216974e-07
100.0	501.1872336272725	1.3811956518097582e-07
100.0	562.341325190349	1.5497270103321772e-07
100.0	630.957344480193	1.7388223047229118e-07
100.0	707.9457843841373	1.9509907146509815e-07
100.0	794.3282347242822	2.1890475860101764e-07
100.0	891.2509381337459	2.4561517888485824e-07
100.0	1000.0	2.755847633654888e-07
100.0	1122.018454301963	3.0921119022051796e-07
100.0	1258.9254117941662	3.469406617040964e-07
100.0	1412.5375446227554	3.8927382497973044e-07
100.0	1584.893192461114	4.3677241540397017e-07
100.0	1778.2794100389226	4.900667104132975e-07
100.0	1995.2623149688786	5.498638929227758e-07
100.0	2238.7211385683377	6.169574352136742e-07
100.0	2511.886431509582	6.922376278285501e-07
100.0	2818.382931264455	7.767033931858473e-07
100.0	3162.277660168379	8.714755406734742e-07
100.0	3548.133892335753	9.778116391084191e-07
100.0	3981.071705534969	1.0971227039108992e-06
100.0	4466.835921509635	1.2309919204216975e-06
100.0	5011.872336272725	1.3811956518097582e-06
100.0	5623.41325190349	1.5497270103321772e-06
100.0	6309.573444801929	1.738822304722912e-06
100.0	7079.457843841374	1.9509907146509817e-06
100.0	7943.282347242822	2.1890475860101764e-06
100.0	8912.509381337459	2.456151788848582e-06
100.0	10000.0	2.755847633654888e-06
100.0	11220.18454301963	3.0921119022051795e-06
100.0	12589.25411794166	3.469406617040964e-06
100.0	14125.375446227554	3.892738249797305e-06
100.0	15848.93192461114	4.367724154039701e-06
100.0	17782.79410038923	4.900667104132975e-06
100.0	19952.62314968879	5.498638929227757e-06
100.0	22387.211385683375	6.16957435213674e-06
100.0	25118.864315095823	6.922376278285501e-06
100.0	28183.82931264455	7.767033931858473e-06
100.0	31622.776601683792	8.714755406734744e-06
100.0	35481.33892335753	9.778116391084193e-06
100.0	39810.71705534969	1.0971227039108992e-05
100.0	44668.359215096345	1.2309919204216975e-05
100.0	50118.72336272725	1.3811956518097583e-05
100.0	56234.13251903491	1.5497270103321773e-05
100.0	63095.7344480193	1.7388223047229117e-05
100.0	70794.57843841374	1.9509907146509815e-05
100.0	79432.82347242822	2.1890475860101766e-05
100.0	89125.0938133746	2.4561517888485827e-05
100.0	100000.00000000001	2.755847633654888e-05
100.0	112201.8454301963	3.0921119022051794e-05
100.0	125892.54117941661	3.469406617040964e-05
100.0	141253.75446227554	3.892738249797305e-05
100.0	158489.3192461114	4.367724154039701e-05
100.0	177827.94100389228	4.9006671041329746e-05
100.0	199526.23149688786	5.498638929227758e-05
100.0	223872.1138568338	6.16957435213674e-05
100.0	251188.64315095823	6.922376278285501e-05
100.0	281838.2931264455	7.767033931858474e-05
100.0	316227.76601683797	8.71475540673474e-05
100.0	354813.3892335753	9.778116391084191e-05
100.0	398107.1705534969	0.00010971227039108993
100.0	446683.5921509635	0.00012309919204216976
100.0	501187.23362727254	0.0001381195651809758
100.0	562341.325190349	0.00015497220608117528
100.0	630957.344480193	0.00017388167512696572
100.0	707945.7843841374	0.00019510031764940366
100.0	794328.2347242822	0.00021890615684280607
100.0	891250.9381337459	0.00024560968748790654
100.0	1000000.0	0.00027557860191676904
100.0	1122018.454301963	0.00030922896347577544
100.0	1258925.4117941675	0.00034696060362448785
100.0	1412537.544622754	0.00038920541477383615
100.0	1584893.1924611141	0.00043669286538479055
100.0	1778279.4100389227	0.0004903339727003775
100.0	1995262.3149688789	0.0005501357440244359
100.0	2238721.13856834	0.0006161210094382802
100.0	2511886.4315095795	0.0006909469039298323
100.0	2818382.931264455	0.0007817503997753811
100.0	3162277.6601683795	0.0008738575823673714
100.0	3548133.8923357534	0.0009721218603506761
100.0	3981071.7055349736	0.00108127671494046
100.0	4466835.92150963	0.0012732354418463446
100.0	5011872.336272725	0.0014832280562702526
100.0	5623413.251903491	0.00170655242055224
100.0	6309573.444801929	0.001947254358893117
100.0	7079457.84384138	0.0022096547177249174
100.0	7943282.347242814	0.0024982258527005787
100.0	8912509.38133746	0.0028161804173672945
100.0	10000000.0	0.0031639891030781483
100.0	11220184.54301963	0.0035444828458807286
100.0	12589254.117941676	0.003960831113526361
100.0	14125375.44622754	0.004416188033895952
100.0	15848931.92461114	0.004913666213742797
100.0	17782794.100389227	0.005456667211058635
100.0	19952623.149688788	0.006048324343206122
100.0	22387211.3856834	0.006692223869507482
100.0	25118864.315095793	0.007391777353260975
100.0	28183829.31264455	0.00815081284952659
100.0	31622776.601683795	0.008972925013530407
100.0	35481338.92335753	0.009861965381289053
100.0	39810717.05534974	0.010821885985787701
100.0	44668359.2150963	0.011856735811153993
100.0	50118723.36272725	0.012970357798189815
100.0	56234132.51903491	0.014166898551725282
100.0	63095734.4480193	0.015450574496109712
100.0	70794578.4384138	0.01682566518291304
100.0	79432823.47242814	0.018296084662691916
100.0	89125093.8133746	0.019866565485898584
100.0	100000000.0	0.02154152471715475
100.0	112201845.43019636	0.02332433811938976
100.0	125892541.17941675	0.025219799558843622
100.0	141253754.4622754	0.027232246868617013
100.0	158489319.24611133	0.02936533520429057
100.0	177827941.0038923	0.03162395386708081
100.0	199526231.49688798	0.03401082369142523
100.0	223872113.856834	0.0365315378269143
100.0	251188643.15095794	0.03918849790010805
100.0	281838293.12644535	0.041986450909406
100.0	316227766.0168379	0.0449282622844077
100.0	354813389.2335755	0.048017550564258715
100.0	398107170.5534973	0.05125784246882882
100.0	446683592.150963	0.05465257028263018
100.0	501187233.6272722	0.05820373026205298
100.0	562341325.1903491	0.061915732176371446
100.0	630957344.4801933	0.065790195665775
100.0	707945784.384138	0.06982827590239973
100.0	794328234.7242814	0.07403574318479161
100.0	891250938.1337456	0.07841182182703567
100.0	1000000000.0	0.08295864199342708
100.0	1122018454.3019636	0.08768023630960571
100.0	1258925411.7941673	0.09257671764194397
100.0	1412537544.6227546	0.0976476591082658
100.0	1584893192.4611135	0.10289680419989336
100.0	1778279410.038923	0.10832331189491809
100.0	1995262314.9688797	0.11393101511921833
100.0	2238721138.5683393	0.119718701800426
100.0	2511886431.50958	0.12568458804555233
100.0	2818382931.264454	0.1318323667635919
100.0	3162277660.1683793	0.1381621453005453
100.0	3548133892.335755	0.14467286556268938
100.0	3981071705.534972	0.15136452282541765
100.0	4466835921.509631	0.1582381167334913
100.0	5011872336.272722	0.16529286683575464
100.0	5623413251.903491	0.17252860707590495
100.0	6309573444.801932	0.17994596689253106
100.0	7079457843.841379	0.18754397474244572
100.0	7943282347.242815	0.19532287686486824
100.0	8912509381.337456	0.20328255284207178
100.0	9999999999.999846	0.21142293484652352
100.0	11220184543.019634	0.21974403033513834
100.0	12589254117.941673	0.22824594543788812
100.0	14125375446.227543	0.23692890889161156
100.0	15848931924.611135	0.2457932965723088
100.0	17782794100.38923	0.25484024333145094
100.0	19952623149.688797	0.2640699507036717
100.0	22387211385.683395	0.2734833895785529
100.0	25118864315.095802	0.28308243293182894
100.0	28183829312.64454	0.29286797246475804
100.0	31622776601.683796	0.30284250988189526
100.0	35481338923.35755	0.31300825238739305
100.0	39810717055.349724	0.3233677708124475
100.0	44668359215.09632	0.3339240285955797
100.0	50118723362.72722	0.34481218300223193
100.0	56234132519.03491	0.3561988587563014
100.0	63095734448.01933	0.36810645661501606
100.0	70794578438.41379	0.38056630605772157
100.0	79432823472.42816	0.3936128076852924
100.0	89125093813.37454	0.4072809462299512
100.0	100000000000.0	0.42161004308715816
100.0	112201845430.19637	0.4366342334007656
100.0	125892541179.41675	0.4524041659257043
100.0	141253754462.2754	0.4689552289817175
100.0	158489319246.11133	0.4863401682581161
100.0	177827941003.89227	0.5046111761244308
100.0	199526231496.88797	0.5238169536932662
100.0	223872113856.834	0.5440166494995778
100.0	251188643150.95795	0.5652710977958739
100.0	281838293126.4453	0.5876467115258931
100.0	316227766016.83795	0.6112104498747606
100.0	354813389233.5755	0.6360439870623332
100.0	398107170553.4973	0.662217173004347
100.0	446683592150.963	0.6898245065209022
100.0	501187233627.2722	0.7189516314899573
100.0	562341325190.3491	0.7497053024488605
100.0	630957344480.1932	0.7821793060012693
100.0	707945784384.1381	0.8164956269407774
100.0	794328234724.2814	0.8527764011912153
100.0	891250938133.7455	0.8911528801250193
100.0	1000000000000.0	0.9317597420095932
100.0	1122018454301.963	0.9747658407579401
100.0	1258925411794.1675	1.0203243041729795
100.0	1412537544622.754	1.068606124465281
100.0	1584893192461.1143	1.119812210646554
100.0	1778279410038.9229	1.1741545101498871
100.0	1995262314968.8787	1.2318609718861475
100.0	2238721138568.34	1.2931444172020026
100.0	2511886431509.5796	1.3583049914655054
100.0	2818382931264.4546	1.4276064451296744
100.0	3162277660168.3794	1.501336312842049
100.0	3548133892335.7534	1.579652339598248
100.0	3981071705534.973	1.6785628919513174
100.0	4466835921509.63	1.7965643240678426
100.0	5011872336272.725	1.9086511194972795
100.0	5623413251903.49	2.0045070250696018
100.0	6309573444801.93	2.104214728137634
100.0	7079457843841.381	2.2102338088619637
100.0	7943282347242.8125	2.323653244832864
100.0	8912509381337.459	2.4455607914177797
100.0	10000000000000.0	2.576894455484916
100.0	11220184543019.629	2.714227894298543
100.0	12589254117941.676	2.8584219244304596
100.0	14125375446227.541	3.0110244489835725
100.0	15848931924611.14	3.172850828325006
100.0	17782794100389.227	3.3445118693970564
100.0	19952623149688.79	3.526628411508258
100.0	22387211385683.4	3.7198243466899847
100.0	25118864315095.797	3.9248639191088346
100.0	28183829312644.547	4.14238631515076
100.0	31622776601683.797	4.37324204462985
100.0	35481338923357.53	4.618195160068746
100.0	39810717055349.734	4.878107620508753
100.0	44668359215096.305	5.154006738173566
100.0	50118723362727.25	5.446670394532602
100.0	56234132519034.914	5.7572646640974385
100.0	63095734448019.305	6.0868101407870885
100.0	70794578438413.81	6.436380512604977
100.0	79432823472428.14	6.8073150046813335
100.0	89125093813374.6	7.200829931601058
100.0	100000000000000.0	7.61828874041438
100.0	112201845430196.3	8.061051976390644
100.0	125892541179416.62	8.530561564833638
100.0	141253754462275.53	9.028418011272837
100.0	158489319246111.4	9.556293088655655
100.0	177827941003892.25	10.11592413776726
100.0	199526231496887.88	10.709266912204125
100.0	223872113856833.78	11.338525888649741
100.0	251188643150958.22	12.005868829388442
100.0	281838293126445.5	12.714003472658248
100.0	316227766016837.94	13.465254177821718
100.0	354813389233575.3	14.261088778194999
100.0	398107170553496.94	15.103652626388998
100.0	446683592150963.44	15.9955148253819
100.0	501187233627272.5	16.93937551029397
100.0	562341325190349.06	17.939381058605534
100.0	630957344480193.0	18.99892441460969
100.0	707945784384137.4	20.121346897949078
100.0	794328234724282.1	21.311993087325682
100.0	891250938133746.0	22.575138389121502
100.0	1000000000000000.0	23.9168140904092
100.0	1122018454301962.9	25.34287179506959
100.0	1258925411794166.2	26.86025523057271
100.0	1412537544622755.5	28.47624015352384
100.0	1584893192461114.0	30.1999258956772
100.0	1778279410038922.8	32.041134338250515
100.0	1995262314968879.0	34.009086792800574
100.0	2238721138568337.8	36.117025051687634
100.0	2511886431509582.0	38.37648489186118
100.0	2818382931264455.0	40.802667276458905
100.0	3162277660168379.0	43.41043785848577
100.0	3548133892335753.0	46.21687443978782
100.0	3981071705534969.0	49.242044137588806
100.0	4466835921509635.0	52.50426037288038
100.0	5011872336272725.0	56.0206574759856
100.0	5623413251903491.0	59.782988057404815
100.0	6309573444801930.0	63.80588825273576
100.0	7079457843841374.0	68.10499251282891
100.0	7943282347242822.0	72.70232326245585
100.0	8912509381337459.0	77.61757936677026
100.0	1e+16	82.87350148345014
100.0	1.1220184543019628e+16	88.49398954033795
100.0	1.258925411794166e+16	94.50273194982938
100.0	1.4125375446227554e+16	100.93136538236818
