#Chabrier 2019 EOS table for H and He mixture with Y = 0.2725 and X = 1 - Y. Nonideal effects from Howard 2023 are also accounted for 
T[K]	P[dyne_cm-2]	rho[g_cm-3]
100.0	10.0	1.9608907347985984e-09
100.0	11.220184543019654	2.0178536600032808e-09
100.0	12.589254117941662	3.1328386751508328e-09
100.0	14.125375446227554	3.966044969145797e-09
100.0	15.84893192461111	4.608799595308941e-09
100.0	17.78279410038923	5.177288177302242e-09
100.0	19.95262314968883	5.745202224000726e-09
100.0	22.387211385683376	6.3734780467269774e-09
100.0	25.11886431509582	7.100821749169275e-09
100.0	28.183829312644495	7.932222263370844e-09
100.0	31.622776601683796	8.877375831857092e-09
100.0	35.481338923357605	9.949573949948598e-09
100.0	39.81071705534969	1.1161349448375862e-08
100.0	44.66835921509635	1.2523377342107949e-08
100.0	50.118723362727145	1.405140914298688e-08
100.0	56.23413251903491	1.576594036737861e-08
100.0	63.09573444801943	1.7689676041623068e-08
100.0	70.79457843841374	1.9848142969324417e-08
100.0	79.43282347242823	2.2269982695205753e-08
100.0	89.12509381337442	2.4987331561006237e-08
100.0	100.0	2.8036247135210867e-08
100.0	112.2018454301963	3.145718667507714e-08
100.0	125.89254117941661	3.529554396985842e-08
100.0	141.25375446227554	3.960225168880751e-08
100.0	158.48931924611142	4.443445722675312e-08
100.0	177.82794100389228	4.9856281015308215e-08
100.0	199.52623149688787	5.593966736204044e-08
100.0	223.87211385683378	6.276533910772269e-08
100.0	251.1886431509582	7.042386876938555e-08
100.0	281.8382931264455	7.90168803825903e-08
100.0	316.2277660168379	8.865839799063707e-08
100.0	354.8133892335753	9.947635867434286e-08
100.0	398.10717055349687	1.1161431019937403e-07
100.0	446.6835921509635	1.2523331580788147e-07
100.0	501.1872336272725	1.4051409142986877e-07
100.0	562.341325190349	1.5765940367378607e-07
100.0	630.957344480193	1.7689676041623067e-07
100.0	707.9457843841373	1.9848142969324417e-07
100.0	794.3282347242822	2.2269982695205755e-07
100.0	891.2509381337459	2.4987331561006236e-07
100.0	1000.0	2.8036247135210876e-07
100.0	1122.018454301963	3.145718667507714e-07
100.0	1258.9254117941662	3.5295543969858415e-07
100.0	1412.5375446227554	3.960225168880751e-07
100.0	1584.893192461114	4.443445722675312e-07
100.0	1778.2794100389226	4.985628101530823e-07
100.0	1995.2623149688786	5.593966736204044e-07
100.0	2238.7211385683377	6.276533910772269e-07
100.0	2511.886431509582	7.042386876938555e-07
100.0	2818.382931264455	7.901688038259028e-07
100.0	3162.277660168379	8.865839799063706e-07
100.0	3548.133892335753	9.947635867434284e-07
100.0	3981.071705534969	1.1161431019937403e-06
100.0	4466.835921509635	1.2523331580788148e-06
100.0	5011.872336272725	1.4051409142986878e-06
100.0	5623.41325190349	1.5765940367378608e-06
100.0	6309.573444801929	1.7689676041623071e-06
100.0	7079.457843841374	1.9848142969324416e-06
100.0	7943.282347242822	2.2269982695205754e-06
100.0	8912.509381337459	2.4987331561006227e-06
100.0	10000.0	2.803624713521087e-06
100.0	11220.18454301963	3.145718667507714e-06
100.0	12589.25411794166	3.5295543969858424e-06
100.0	14125.375446227554	3.960225168880751e-06
100.0	15848.93192461114	4.4434457226753116e-06
100.0	17782.79410038923	4.985628101530823e-06
100.0	19952.62314968879	5.593966736204043e-06
100.0	22387.211385683375	6.276533910772268e-06
100.0	25118.864315095823	7.0423868769385565e-06
100.0	28183.82931264455	7.90168803825903e-06
100.0	31622.776601683792	8.865839799063707e-06
100.0	35481.33892335753	9.947635867434285e-06
100.0	39810.71705534969	1.1161431019937402e-05
100.0	44668.359215096345	1.2523331580788148e-05
100.0	50118.72336272725	1.4051409142986878e-05
100.0	56234.13251903491	1.576594036737861e-05
100.0	63095.7344480193	1.768967604162307e-05
100.0	70794.57843841374	1.9848142969324415e-05
100.0	79432.82347242822	2.226998269520576e-05
100.0	89125.0938133746	2.4987331561006233e-05
100.0	100000.00000000001	2.803624713521087e-05
100.0	112201.8454301963	3.145718667507714e-05
100.0	125892.54117941661	3.5295543969858415e-05
100.0	141253.75446227554	3.960225168880751e-05
100.0	158489.3192461114	4.443445722675312e-05
100.0	177827.94100389228	4.985628101530823e-05
100.0	199526.23149688786	5.593966736204044e-05
100.0	223872.1138568338	6.276533910772268e-05
100.0	251188.64315095823	7.042386876938557e-05
100.0	281838.2931264455	7.901688038259028e-05
100.0	316227.76601683797	8.865839799063706e-05
100.0	354813.3892335753	9.947635867434285e-05
100.0	398107.1705534969	0.00011161431019937402
100.0	446683.5921509635	0.00012523331580788149
100.0	501187.23362727254	0.00014051409142986878
100.0	562341.325190349	0.00015765882756384737
100.0	630957.344480193	0.0001768961140102479
100.0	707945.7843841374	0.000198482880217929
100.0	794328.2347242822	0.00022270145446752251
100.0	891250.9381337459	0.00024986692379964156
100.0	1000000.0	0.0002803552996228602
100.0	1122018.454301963	0.00031459255448951196
100.0	1258925.4117941675	0.0003529786517232283
100.0	1412537.544622754	0.0003959428913567027
100.0	1584893.1924611141	0.0004442519807217523
100.0	1778279.4100389227	0.0004988739203650394
100.0	1995262.3149688789	0.0005597131231782178
100.0	2238721.13856834	0.000626680005297428
100.0	2511886.4315095795	0.0007027367251707362
100.0	2818382.931264455	0.0007960488842661407
100.0	3162277.6601683795	0.0008893577019626904
100.0	3548133.8923357534	0.00098814639483072
100.0	3981071.7055349736	0.0010977371356087969
100.0	4466835.92150963	0.0013017478430542996
100.0	5011872.336272725	0.0015251819146054068
100.0	5623413.251903491	0.0017618363209247149
100.0	6309573.444801929	0.0020158420213146236
100.0	7079457.84384138	0.002291757490736242
100.0	7943282.347242814	0.002594351483126557
100.0	8912509.38133746	0.002927091720897395
100.0	10000000.0	0.0032905787928251846
100.0	11220184.54301963	0.003687836074650561
100.0	12589254.117941676	0.004122224678390463
100.0	14125375.44622754	0.004597077283751892
100.0	15848931.92461114	0.005115672886416541
100.0	17782794.100389227	0.005681582751135619
100.0	19952623.149688788	0.006298092404069091
100.0	22387211.3856834	0.006968953764365117
100.0	25118864.315095793	0.007697733034774573
100.0	28183829.31264455	0.008488427115531666
100.0	31622776.601683795	0.009344787638325698
100.0	35481338.92335753	0.010270831993788759
100.0	39810717.05534974	0.011270680921047738
100.0	44668359.2150963	0.012348555116453684
100.0	50118723.36272725	0.013508459903673
100.0	56234132.51903491	0.014754716275377108
100.0	63095734.4480193	0.01609171744468038
100.0	70794578.4384138	0.017523922025020386
100.0	79432823.47242814	0.01905540767951685
100.0	89125093.8133746	0.020691104309790383
100.0	100000000.0	0.022435613058273494
100.0	112201845.43019636	0.024292450423627494
100.0	125892541.17941675	0.026266609740339026
100.0	141253754.4622754	0.028362609296157103
100.0	158489319.24611133	0.03058425630115537
