g	Prefix	Level (cm-1)	Suffix
9	""	"0.000"	""	
7	""	"415.933"	""	
5	""	"704.007"	""	
3	""	"888.132"	""	
1	""	"978.074"	""	
11	""	"6928.268"	""	
9	""	"7376.764"	""	
7	""	"7728.060"	""	
5	""	"7985.785"	""	
3	""	"8154.714"	""	
9	""	"11976.239"	""	
7	""	"12560.934"	""	
5	""	"12968.554"	""	
7	""	"17550.181"	""	
5	""	"17726.988"	""	
3	""	"17927.382"	""	
5	""	"18378.186"	""	
3	""	"19552.478"	""	
1	""	"20037.816"	""	
11	""	"19350.891"	""	
9	""	"19562.439"	""	
7	""	"19757.032"	""	
5	""	"19912.495"	""	
3	""	"20019.635"	""	
13	""	"19390.168"	""	
11	""	"19621.006"	""	
9	""	"19788.251"	""	
9	""	"20641.110"	""	
7	""	"20874.482"	""	
5	""	"21038.987"	""	
11	""	"21715.732"	""	
9	""	"21999.130"	""	
7	""	"22249.429"	""	
13	""	"22650.416"	""	
11	""	"22845.869"	""	
9	""	"22996.674"	""	
7	""	"23110.939"	""	
5	""	"23192.500"	""	
3	""	"23244.838"	""	
1	""	"23270.384"	""	
5	""	"22838.323"	""	
3	""	"22946.816"	""	
1	""	"23051.750"	""	
9	""	"23711.456"	""	
7	""	"24180.862"	""	
5	""	"24506.917"	""	
11	""	"23783.619"	""	
9	""	"24118.819"	""	
7	""	"24338.767"	""	
5	""	"24335.766"	""	
3	""	"24772.018"	""	
1	""	"25091.599"	""	
9	""	"24574.655"	""	
9	""	"25899.989"	""	
7	""	"26140.179"	""	
5	""	"26339.696"	""	
3	""	"26479.381"	""	
1	""	"26550.479"	""	
13	""	"26105.908"	""	
11	""	"26351.040"	""	
9	""	"26627.609"	""	
7	""	"26224.969"	""	
3	""	"26406.465"	""	
5	""	"26623.735"	""	
11	""	"26874.550"	""	
9	""	"27166.820"	""	
7	""	"27394.691"	""	
5	""	"27559.583"	""	
3	""	"27666.348"	""	
3	""	"27543.003"	""	
5	""	"28604.613"	""	
11	""	"28819.954"	""	
7	""	"29056.324"	""	
5	""	"29469.024"	""	
3	""	"29732.736"	""	
13	""	"29313.008"	""	
3	""	"29320.026"	""	
5	""	"29356.744"	""	
7	""	"29371.812"	""	
9	""	"29798.936"	""	
9	""	"31307.245"	""	
7	""	"31805.071"	""	
5	""	"32133.991"	""	
7	""	"31322.613"	""	
5	""	"31686.351"	""	
3	""	"31937.325"	""	
9	""	"32873.632"	""	
7	""	"33412.717"	""	
5	""	"33765.306"	""	
9	""	"33095.941"	""	
7	""	"33507.123"	""	
5	""	"33801.572"	""	
3	""	"34017.103"	""	
1	""	"34121.603"	""	
11	""	"33695.397"	""	
9	""	"34039.516"	""	
7	""	"34328.752"	""	
5	""	"34547.211"	""	
3	""	"34692.148"	""	
5	""	"33946.933"	""	
3	""	"34362.873"	""	
1	""	"34555.597"	""	
5	""	"34636.792"	""	
11	""	"34782.421"	""	
13	""	"34843.957"	""	
9	""	"35257.324"	""	
7	""	"35611.625"	""	
5	""	"35856.402"	""	
11	""	"35379.208"	""	
9	""	"35767.564"	""	
7	""	"36079.372"	""	
9	""	"36686.176"	""	
7	""	"37162.746"	""	
5	""	"37521.161"	""	
7	""	"36766.966"	""	
5	""	"37157.566"	""	
3	""	"37409.555"	""	
5	""	"36940.590"	""	
7	""	"36975.588"	""	
9	""	"37045.934"	""	
7	""	"38175.355"	""	
5	""	"38678.039"	""	
3	""	"38995.736"	""	
9	""	"39625.804"	""	
7	""	"39969.853"	""	
5	""	"40231.336"	""	
3	""	"40404.518"	""	
1	""	"40491.284"	""	
5	""	"40052.035"	""	
7	""	"40207.091"	""	
9	""	"40421.938"	""	
11	""	"40257.314"	""	
9	""	"40594.432"	""	
7	""	"40842.154"	""	
5	""	"41018.051"	""	
3	""	"41130.599"	""	
5	""	"40871.412"	""	
3	""	"41178.412"	""	
1	""	"41234.505"	""	
5	""	"40894.990"	""	
7	""	"42532.741"	""	
5	""	"42859.778"	""	
3	""	"43079.023"	""	
13	""	"42784.352"	""	
11	""	"42911.917"	""	
9	""	"43022.985"	""	
7	""	"43137.487"	""	
5	""	"43210.025"	""	
11	""	"42815.855"	""	
9	""	"43163.326"	""	
7	""	"43434.627"	""	
5	""	"43633.533"	""	
3	""	"43763.980"	""	
13	""	"42903.861"	""	
9	""	"43442.705"	""	
11	""	"43460.121"	""	
11	""	"42991.697"	""	
9	""	"43108.917"	""	
13	""	"43321.096"	"?"	
7	""	"43325.964"	""	
9	""	"43499.505"	""	
7	""	"43922.668"	""	
5	""	"44183.628"	""	
3	""	"44411.160"	""	
1	""	"44458.934"	""	
9	""	"44022.525"	""	
7	""	"44166.206"	""	
5	""	"44664.075"	""	
3	""	"44760.746"	""	
1	""	"44826.900"	""	
11	""	"44243.685"	""	
5	""	"44285.454"	""	
3	""	"44378.342"	""	
9	""	"44415.074"	""	
7	""	"44551.335"	""	
5	""	"44511.812"	""	
9	""	"44677.006"	""	
7	""	"45061.329"	""	
5	""	"45333.875"	""	
3	""	"45509.152"	""	
1	""	"45595.086"	""	
7	""	"45220.681"	""	
5	""	"45281.833"	""	
3	""	"45551.767"	""	
11	""	"45294.846"	""	
9	""	"45428.402"	""	
7	""	"45562.974"	""	
13	""	"45608.361"	""	
11	""	"45726.130"	""	
9	""	"45833.223"	""	
7	""	"45913.497"	""	
5	""	"45964.957"	""	
15	""	"45978.008"	""	
13	""	"46026.971"	""	
11	""	"46135.820"	""	
7	""	"46137.097"	""	
5	""	"46313.537"	""	
3	""	"46410.381"	""	
3	""	"46600.818"	""	
1	""	"46672.540"	""	
5	""	"46727.074"	""	
3	""	"46901.832"	""	
9	""	"46720.842"	""	
7	""	"46744.993"	""	
5	""	"46888.517"	""	
1	""	"47171.531"	""	
3	""	"47177.234"	""	
9	""	"46889.142"	""	
7	""	"47092.712"	""	
5	""	"47197.010"	""	
13	""	"46982.320"	""	
11	""	"47008.371"	""	
9	""	"47106.484"	""	
11	""	"47005.506"	""	
9	""	"47377.955"	""	
7	""	"47755.537"	""	
5	""	"48036.673"	""	
3	""	"48221.324"	""	
7	""	"47017.188"	""	
5	""	"47136.084"	""	
3	""	"47272.027"	""	
13	""	"47363.376"	""	
11	""	"47420.228"	""	
9	""	"47590.048"	""	
7	""	"47693.239"	""	
5	""	"47831.153"	""	
5	""	"47419.687"	""	
9	""	"47452.717"	""	
3	""	"47555.610"	""	
11	""	"47606.114"	""	
9	""	"47929.997"	""	
7	""	"48122.928"	""	
5	""	"48238.847"	""	
3	""	"48350.606"	""	
9	""	"47812.118"	""	
7	""	"47834.221"	""	
11	""	"47834.550"	""	
13	""	"47855.143"	""	
11	""	"48231.280"	""	
9	""	"48361.882"	""	
7	""	"48475.686"	""	
9	""	"47960.940"	""	
7	""	"48531.865"	""	
5	""	"48928.388"	""	
7	""	"47966.585"	""	
5	""	"48163.446"	""	
3	""	"48289.871"	""	
13	""	"48098.293"	""	
5	""	"48304.643"	""	
1	""	"48460.113"	""	
3	""	"48516.138"	""	
11	""	"48382.603"	""	
9	""	"48702.535"	""	
9	""	"49108.896"	""	
7	""	"49242.886"	""	
5	""	"49433.131"	""	
7	""	"49135.023"	""	
5	""	"49242.621"	""	
3	""	"49297.635"	""	
11	""	"49352.341"	""	
9	""	"49558.734"	""	
7	""	"49805.257"	""	
5	""	"50008.522"	""	
3	""	"50152.619"	""	
13	""	"49434.163"	""	
11	""	"49604.427"	""	
9	""	"49726.990"	""	
11	""	"49460.902"	""	
9	""	"49627.884"	""	
7	""	"49850.590"	""	
7	""	"49477.127"	""	
13	""	"49758.142"	""	
11	""	"50052.194"	""	
9	""	"50303.225"	""	
7	""	"50433.025"	""	
5	""	"50555.762"	""	
3	""	"50627.436"	""	
1	""	"50659.683"	""	
1	""	"49951.344"	""	
3	""	"50043.213"	""	
5	""	"50186.834"	""	
9	""	"50185.743"	""	
7	""	"50628.372"	""	
5	""	"50901.172"	""	
13	""	"50342.129"	""	
11	""	"50833.438"	""	
7	""	"51148.848"	""	
9	""	"51192.273"	""	
3	""	"51207.998"	""	
5	""	"51331.052"	""	
11	""	"50377.908"	""	
9	""	"50807.997"	""	
7	""	"50861.816"	""	
5	""	"50998.645"	""	
3	""	"51048.107"	""	
9	""	"50423.137"	""	
7	""	"50534.397"	""	
5	""	"50698.620"	""	
3	""	"50880.102"	""	
1	""	"50981.012"	""	
9	""	"50475.288"	""	
7	""	"50611.261"	""	
5	""	"50861.327"	""	
