g	Prefix	Level (cm-1)	Suffix
2	""	"0.0000"	""	
2	""	"12985.185724"	""	
4	""	"13042.896027"	""	
2	""	"21026.551"	""	
6	""	"21534.680"	""	
4	""	"21536.988"	""	
2	""	"24701.382"	""	
4	""	"24720.139"	""	
6	""	"27397.077"	""	
4	""	"27398.147"	""	
2	""	"27450.7104"	""	
6	""	"28127.85"	""	
8	""	"28127.85"	""	
2	""	"28999.27"	""	
4	""	"29007.71"	""	
6	""	"30185.2439"	""	
4	""	"30185.7476"	""	
2	""	"30274.2487"	""	
6	""	"30606.73"	""	
8	""	"30606.73"	""	
8	""	"30617.31"	""	
10	""	"30617.31"	""	
2	""	"31069.90"	""	
4	""	"31074.40"	""	
6	""	"31695.9005"	""	
4	""	"31696.1661"	""	
2	""	"31765.3767"	""	
6	""	"31953.17"	""	
8	""	"31953.17"	""	
2	""	"32227.44"	""	
4	""	"32230.11"	""	
6	""	"32598.2881"	""	
4	""	"32598.4437"	""	
2	""	"32648.3511"	""	
6	""	"32764.80"	""	
8	""	"32764.80"	""	
2	""	"32940.2030"	""	
4	""	"32941.9262"	""	
6	""	"33178.1339"	""	
4	""	"33178.2324"	""	
2	""	"33214.2267"	""	
6	""	"33291.40"	""	
8	""	"33291.40"	""	
2	""	"33410.2306"	""	
4	""	"33411.3986"	""	
6	""	"33572.0592"	""	
4	""	"33572.1249"	""	
2	""	"33598.5597"	""	
6	""	"33652.32"	""	
8	""	"33652.32"	""	
2	""	"33736.4979"	""	
4	""	"33737.3284"	""	
6	""	"33851.5956"	""	
4	""	"33851.6418"	""	
2	""	"33871.4788"	""	
6	""	"33910.42"	""	
8	""	"33910.42"	""	
2	""	"33972.2064"	""	
4	""	"33972.8148"	""	
6	""	"34057.0051"	""	
4	""	"34057.0385"	""	
2	""	"34072.2393"	""	
6	""	"34101.36"	""	
8	""	"34101.36"	""	
2	""	"34148.0284"	""	
4	""	"34148.4861"	""	
6	""	"34212.3139"	""	
4	""	"34212.3393"	""	
2	""	"34224.2113"	""	
6	""	"34246.37"	""	
8	""	"34246.37"	""	
2	""	"34282.6573"	""	
4	""	"34283.0181"	""	
6	""	"34332.5627"	""	
4	""	"34332.5823"	""	
2	""	"34342.0150"	""	
6	""	"34359.36"	""	
8	""	"34359.36"	""	
2	""	"34388.0315"	""	
4	""	"34388.3148"	""	
6	""	"34427.5513"	""	
4	""	"34427.5667"	""	
2	""	"34435.1762"	""	
6	""	"34448.98"	""	
8	""	"34448.98"	""	
2	""	"34472.0505"	""	
4	""	"34472.2798"	""	
6	""	"34503.8844"	""	
4	""	"34503.8967"	""	
2	""	"34510.1190"	""	
2	""	"34540.1250"	""	
4	""	"34540.3088"	""	
6	""	"34566.1420"	""	
4	""	"34566.1522"	""	
2	""	"34571.3017"	""	
2	""	"34596.0448"	""	
4	""	"34596.1996"	""	
6	""	"34617.5815"	""	
4	""	"34617.5899"	""	
2	""	"34621.8976"	""	
4	""	"34642.6698"	""	
6	""	"34660.5702"	""	
4	""	"34660.5772"	""	
2	""	"34664.2161"	""	
4	""	"34681.7220"	""	
6	""	"34696.8629"	""	
4	""	"34696.8689"	""	
2	""	"34699.9692"	""	
4	""	"34714.8646"	""	
6	""	"34727.7798"	""	
4	""	"34727.7849"	""	
2	""	"34730.4476"	""	
6	""	"34754.3327"	""	
4	""	"34754.3371"	""	
2	""	"34756.6407"	""	
6	""	"34777.3058"	""	
4	""	"34777.3096"	""	
2	""	"34779.3147"	""	
6	""	"34797.3141"	""	
4	""	"34797.3174"	""	
2	""	"34799.0740"	""	
6	""	"34814.8472"	""	
4	""	"34814.8502"	""	
2	""	"34816.3971"	""	
6	""	"34830.2969"	""	
4	""	"34830.2994"	""	
2	""	"34831.6690"	""	
6	""	"34843.9804"	""	
4	""	"34843.9827"	""	
2	""	"34845.2004"	""	
6	""	"34856.1570"	""	
4	""	"34856.1590"	""	
2	""	"34857.2470"	""	
6	""	"34867.0404"	""	
4	""	"34867.0423"	""	
2	""	"34868.0180"	""	
6	"["	"34876.8070"	"]"	
4	"["	"34876.8087"	"]"	
2	"["	"34877.6871"	"]"	
6	""	"34885.6048"	""	
4	""	"34885.6062"	""	
2	""	"34886.3999"	""	
6	"["	"34893.5578"	"]"	
4	"["	"34893.5591"	"]"	
2	"["	"34894.2785"	"]"	
6	""	"34900.7707"	""	
4	""	"34900.7719"	""	
2	""	"34901.4264"	""	
6	"["	"34907.3326"	"]"	
4	"["	"34907.3337"	"]"	
2	"["	"34907.9301"	"]"	
6	""	"34913.3194"	""	
4	""	"34913.3204"	""	
2	""	"34913.8657"	""	
6	"["	"34918.7968"	"]"	
4	"["	"34918.7976"	"]"	
2	"["	"34919.2976"	"]"	
6	""	"34923.8203"	""	
4	""	"34923.8212"	""	
2	""	"34924.2808"	""	
6	"["	"34928.4396"	"]"	
4	"["	"34928.4403"	"]"	
2	"["	"34928.8634"	"]"	
6	""	"34932.6961"	""	
4	""	"34932.6969"	""	
2	""	"34933.0874"	""	
6	"["	"34936.6273"	"]"	
4	"["	"34936.6279"	"]"	
2	"["	"34936.9892"	"]"	
6	""	"34940.2653"	""	
4	""	"34940.2660"	""	
2	""	"34940.6009"	""	
6	"["	"34943.6386"	"]"	
4	"["	"34943.6393"	"]"	
2	"["	"34943.9500"	"]"	
6	""	"34946.7726"	""	
4	"["	"34946.7730"	"]"	
2	""	"34947.0620"	""	
6	"["	"34949.6886"	"]"	
4	"["	"34949.6892"	"]"	
2	"["	"34949.9585"	"]"	
6	"["	"34952.4071"	"]"	
4	"["	"34952.4077"	"]"	
2	""	"34952.6589"	""	
6	"["	"34954.9453"	"]"	
4	"["	"34954.9458"	"]"	
6	""	"34957.3187"	""	
4	"["	"34957.3193"	"]"	
	""	"35009.8140"	""	
4	""	"151008"	""	
2	""	"153085"	""	
2	""	"159367"	""	
4	""	"159678"	""	
6	""	"160245"	""	
4	""	"161473"	""	
2	""	"162404"	""	
4	""	"163006"	""	
4	""	"164506"	""	
2	""	"164998"	""	
8	""	"165213"	""	
6	""	"165729"	""	
4	""	"166221"	""	
4	""	"166506"	""	
6	""	"166950"	""	
8	""	"167528"	""	
6	""	"167964"	""	
2	""	"168378"	""	
4	""	"168515"	""	
8	""	"172072"	""	
4	""	"172623"	""	
2	""	"172800"	""	
4	""	"173198"	""	
6	""	"173371"	""	
8	""	"174319"	""	
6	""	"174577"	""	
6	""	"175815"	""	
4	""	"177775"	""	
2	""	"176278"	""	
6	""	"179549"	""	
4	""	"179887"	""	
4	""	"180315"	""	
4	""	"184347"	""	
2	""	"185153"	""	
6	""	"193072"	""	
4	""	"193756"	""	
2	""	"193946"	""	
4	""	"194075"	""	
6	""	"196318"	""	
4	""	"196361"	""	
2	""	"196727"	""	
4	""	"196831"	""	
2	""	"197888"	""	
4	""	"197952"	""	
6	""	"198051"	""	
6	""	"198900"	""	
6	""	"198900"	""	
6	""	"199567"	""	
6	""	"199980"	""	
6	""	"199980"	""	
6	""	"200270"	""	
6	""	"200270"	""	
6	""	"200490"	""	
6	""	"200490"	""	
6	""	"200660"	""	
6	""	"200660"	""	
6	""	"200773"	""	
6	""	"200773"	""	
6	""	"200875"	""	
6	""	"200875"	""	
6	""	"200952"	""	
6	""	"200952"	""	
6	""	"201014"	""	
6	""	"201014"	""	
6	""	"201068"	""	
6	""	"201068"	""	
6	""	"201112"	""	
6	""	"201112"	""	
6	""	"201149"	""	
6	""	"201149"	""	
6	""	"201180"	""	
6	""	"201180"	""	
6	""	"201208"	""	
6	""	"201208"	""	
6	""	"201231"	""	
6	""	"201231"	""	
6	""	"201253"	""	
6	""	"201253"	""	
6	""	"201270"	""	
6	""	"201270"	""	
6	""	"201286"	""	
6	""	"201286"	""	
6	""	"201301"	""	
6	""	"201301"	""	
6	""	"201313"	""	
6	""	"201313"	""	
6	""	"201324"	""	
6	""	"201324"	""	
6	""	"201336"	""	
6	""	"201336"	""	
6	""	"201346"	""	
6	""	"201346"	""	
6	""	"201356"	""	
6	""	"201356"	""	
	""	"201467.1"	""	
6	""	"214059"	""	
6	""	"235452"	""	
6	""	"235723"	""	
6	""	"235926"	""	
6	""	"236070"	""	
6	""	"236198"	""	
6	""	"236300"	""	
6	""	"236383"	""	
6	""	"236457"	""	
6	""	"236517"	""	
6	""	"236569"	""	
6	""	"236612"	""	
6	""	"236649"	""	
6	""	"236678"	""	
	""	"236967.4"	""	
