g	Prefix	Level (cm-1)	Suffix
6	""	"0.00"	""	
10	""	"17052.29"	""	
8	""	"17282.00"	""	
6	""	"17451.52"	""	
4	""	"17568.48"	""	
2	""	"17637.15"	""	
6	""	"18402.46"	""	
8	""	"18531.64"	""	
10	""	"18705.37"	""	
8	""	"23296.67"	""	
6	""	"23549.20"	""	
4	""	"23719.52"	""	
2	""	"23818.87"	""	
4	""	"24779.32"	""	
6	""	"24788.05"	""	
8	""	"24802.25"	""	
12	""	"25265.74"	""	
6	""	"25281.04"	""	
10	""	"25285.43"	""	
8	""	"25287.74"	""	
6	""	"27201.54"	""	
4	""	"27248.00"	""	
2	""	"27281.85"	""	
8	""	"30354.21"	""	
2	""	"30411.74"	""	
6	""	"30419.61"	""	
4	""	"30425.71"	""	
6	""	"31001.15"	""	
4	""	"31076.42"	""	
2	""	"31124.95"	""	
6	""	"33825.49"	""	
4	""	"34463.37"	""	
2	""	"34845.26"	""	
14	""	"34138.88"	""	
12	""	"34250.52"	""	
10	""	"34343.90"	""	
8	""	"34423.27"	""	
10	""	"34938.70"	""	
8	""	"35041.37"	""	
6	""	"35114.98"	""	
4	""	"35165.05"	""	
4	""	"35689.98"	""	
6	""	"35725.85"	""	
8	""	"35769.97"	""	
12	""	"37148.66"	""	
14	""	"37164.25"	""	
12	""	"37420.24"	""	
10	""	"37630.62"	""	
8	""	"37737.22"	""	
6	""	"37789.93"	""	
4	""	"37586.03"	""	
2	""	"38351.78"	""	
12	""	"38008.70"	""	
10	""	"38120.18"	""	
8	""	"38669.60"	""	
6	""	"38934.94"	""	
8	""	"39431.31"	""	
10	""	"41031.48"	""	
8	""	"41230.30"	""	
6	""	"41403.93"	""	
10	""	"41789.48"	""	
8	""	"41932.64"	""	
6	""	"42053.73"	""	
4	""	"42143.57"	""	
2	""	"42198.56"	""	
14	""	"43053.30"	""	
12	""	"43139.27"	""	
12	""	"43314.23"	""	
10	""	"43428.58"	""	
8	""	"43524.08"	""	
6	""	"43595.50"	""	
4	""	"43644.45"	""	
2	""	"43672.66"	""	
10	""	"44288.76"	""	
8	""	"44523.45"	""	
6	""	"44696.29"	""	
4	""	"44814.73"	""	
8	""	"44993.92"	""	
6	""	"45156.11"	""	
4	""	"45259.17"	""	
8	""	"45754.27"	""	
6	""	"45940.93"	""	
4	""	"46083.89"	""	
2	""	"46169.93"	""	
6	""	"45981.44"	""	
8	""	"46000.77"	""	
10	""	"46026.75"	""	
4	""	"46706.09"	""	
6	""	"46707.03"	""	
8	""	"46708.33"	""	
10	""	"46710.15"	""	
12	""	"46712.58"	""	
6	""	"46901.13"	""	
4	""	"47154.51"	""	
2	""	"47299.29"	""	
10	""	"47207.28"	""	
8	""	"47212.06"	""	
6	""	"47215.61"	""	
4	""	"47218.15"	""	
2	""	"47219.64"	""	
8	""	"47387.62"	""	
6	""	"47659.52"	""	
4	""	"47782.43"	""	
2	""	"47452.16"	""	
4	""	"47466.66"	""	
6	""	"47753.99"	""	
8	""	"47774.52"	""	
10	""	"47903.80"	""	
12	""	"48021.43"	""	
10	""	"48168.01"	""	
8	""	"48225.99"	""	
6	""	"48270.91"	""	
4	""	"48300.98"	""	
2	""	"48318.12"	""	
6	""	"49415.35"	""	
4	""	"49591.51"	""	
8	""	"49888.01"	""	
6	""	"50012.50"	""	
4	""	"50099.03"	""	
8	""	"50065.46"	""	
10	""	"50072.59"	""	
12	""	"50081.31"	""	
14	""	"50094.60"	""	
8	""	"50157.63"	""	
10	""	"50341.30"	""	
8	""	"50359.28"	""	
6	""	"50373.23"	""	
4	""	"50383.27"	""	
2	""	"50818.64"	""	
4	""	"50863.5"	""	
6	""	"50931.29"	""	
8	""	"51014.94"	""	
10	""	"51100.49"	""	
12	""	"51169.18"	""	
6	""	"50904.68"	""	
6	""	"51305.31"	""	
4	""	"51445.55"	""	
2	""	"51552.78"	""	
6	""	"51515.63"	""	
8	""	"51530.61"	""	
10	""	"51546.27"	""	
12	""	"51560.93"	""	
6	""	"51638.17"	""	
4	""	"51718.22"	""	
2	""	"51787.92"	""	
4	""	"52014.98"	""	
6	""	"52128.58"	""	
8	""	"52253.17"	""	
6	""	"52490.0"	""	
8	""	"52497.21"	""	
4	""	"52702.48"	"?"	
6	""	"52702.48"	"?"	
8	""	"52702.48"	"?"	
10	""	"52703.1"	""	
12	""	"52705.23"	""	
10	""	"52726.39"	""	
8	""	"52730.41"	""	
6	""	"52733.22"	""	
4	""	"52735.01"	""	
2	""	"52735.83"	""	
10	""	"52758.11"	""	
8	""	"52869.99"	""	
2	""	"52883.10"	""	
6	""	"52883.79"	""	
4	""	"52883.79"	""	
2	""	"52974.5"	"?"	
4	""	"52974.5"	"?"	
6	""	"52974.5"	"?"	
8	""	"52974.5"	"?"	
10	""	"52974.5"	"?"	
12	""	"52974.5"	"?"	
14	""	"52974.5"	"?"	
10	""	"52977.75"	""	
8	""	"52977.82"	""	
12	""	"52977.89"	""	
4	""	"52977.93"	""	
6	""	"52978.03"	""	
2	""	"53101.32"	""	
4	""	"53103.09"	""	
6	""	"53109.14"	""	
8	""	"53124.00"	""	
8	""	"53261.05"	""	
6	""	"53291.30"	""	
4	""	"53311.12"	""	
4	""	"54218.62"	""	
6	""	"54460.30"	""	
10	""	"54938.94"	""	
8	""	"54946.55"	""	
2	""	"54949.60"	""	
6	""	"54950.81"	""	
4	""	"54953.21"	""	
8	""	"55107.52"	""	
6	""	"55186.1"	""	
4	""	"55279.91"	""	
6	""	"55283.98"	""	
8	""	"55287.59"	""	
4	""	"55368.66"	""	
6	""	"55406.0"	""	
2	""	"55457.20"	""	
8	""	"55374.76"	""	
10	""	"55375.70"	""	
12	""	"55376.70"	""	
6	""	"55491.57"	""	
4	""	"55491.95"	""	
8	""	"55492.08"	""	
10	""	"55492.52"	""	
12	""	"55492.74"	""	
8	""	"55492.41"	""	
6	""	"55493.51"	""	
14	""	"55498.5"	""	
12	""	"55499.09"	""	
10	""	"55499.09"	""	
8	""	"55499.5"	""	
4	""	"55499.75"	""	
6	""	"55499.90"	""	
10	""	"55681.90"	""	
8	""	"55688.10"	""	
6	""	"55690.80"	""	
4	""	"55691.90"	""	
2	""	"55692.40"	""	
6	""	"55923.98"	""	
4	""	"55939.27"	""	
4	""	"55996.90"	""	
6	""	"56008.18"	""	
8	""	"56012.61"	""	
8	""	"56144.16"	""	
10	""	"56189.45"	""	
8	""	"56356.21"	""	
6	""	"56490.79"	""	
4	""	"56567.93"	""	
2	""	"56666.06"	""	
8	""	"56462.08"	""	
6	""	"56561.95"	""	
4	""	"56601.63"	""	
8	""	"56755.58"	""	
4	""	"56801.4"	"?"	
6	""	"56801.4"	"?"	
8	""	"56801.4"	"?"	
10	""	"56801.4"	"?"	
12	""	"56801.4"	"?"	
2	""	"56867.1"	""	
4	""	"56867.1"	""	
6	""	"56867.1"	""	
8	""	"56867.1"	""	
10	""	"56867.1"	""	
12	""	"56867.1"	""	
8	""	"56926.32"	""	
6	""	"56931.14"	""	
4	""	"56934.17"	""	
6	""	"57086.33"	""	
8	""	"57218.15"	""	
10	""	"57388.90"	""	
2	""	"57228.30"	""	
4	""	"57360.73"	""	
6	""	"57487.05"	""	
8	""	"57305.62"	""	
6	""	"57485.97"	""	
4	""	"57621.90"	""	
2	""	"57705.83"	""	
4	""	"57512.08"	""	
6	""	"57623.33"	""	
8	""	"57624.65"	""	
2	""	"57697.2"	""	
4	""	"57697.2"	""	
6	""	"57697.2"	""	
8	""	"57697.2"	""	
10	""	"57697.2"	""	
12	""	"57697.2"	""	
8	""	"57716.70"	""	
6	""	"57719.70"	""	
4	""	"57722.04"	""	
12	""	"58075.06"	""	
10	""	"58110.24"	""	
8	""	"58136.69"	""	
6	""	"58159.73"	""	
6	""	"58182.24"	""	
8	""	"58182.24"	""	
8	""	"58238.80"	""	
6	""	"58240.80"	""	
4	""	"58242.16"	""	
14	""	"58338.67"	""	
12	""	"58427.30"	""	
10	""	"58485.52"	""	
8	""	"58519.90"	""	
6	""	"58561.18"	""	
8	""	"58561.18"	""	
8	""	"58598.73"	""	
6	""	"58600.33"	""	
4	""	"58600.92"	""	
24	""	"58830.70"	""	
14	""	"58843.39"	""	
12	""	"58851.49"	""	
16	""	"58852.60"	""	
10	""	"58866.66"	""	
8	""	"58856.98"	""	
6	""	"58858.04"	""	
4	""	"58858.48"	""	
24	""	"59029.12"	""	
8	""	"59048.39"	""	
4	""	"59049.00"	""	
6	""	"59049.00"	""	
6	""	"59116.64"	""	
8	""	"59339.49"	""	
2	""	"59527.36"	""	
4	""	"59527.89"	""	
24	""	"59179.38"	""	
8	""	"59193.78"	""	
4	""	"59194.28"	""	
6	""	"59194.28"	""	
10	""	"59257.44"	""	
8	""	"59290.11"	""	
6	""	"59360.67"	""	
4	""	"59416.15"	""	
24	""	"59296.00"	""	
18	""	"59307.46"	""	
4	""	"59384.24"	""	
6	""	"59480.80"	""	
2	""	"59568.29"	""	
24	""	"59388.47"	""	
18	""	"59397.35"	""	
24	""	"59462.48"	""	
8	""	"59470.14"	""	
4	""	"59989.77"	""	
6	""	"60101.65"	""	
2	""	"60141.98"	""	
18	""	"59470.31"	""	
24	""	"59523.45"	""	
18	""	"59529.21"	""	
24	""	"59573.79"	""	
18	""	"59578.37"	""	
6	""	"59600.35"	""	
4	""	"60395.64"	""	
24	""	"59615.5"	""	
14	""	"59617.12"	""	
12	""	"59827.88"	""	
18	""	"59619.60"	""	
24	""	"59650.9"	""	
12	""	"59652.90"	""	
10	""	"59731.94"	""	
8	""	"59784.31"	""	
6	""	"59817.70"	""	
18	""	"59654.46"	""	
24	""	"59681.2"	""	
18	""	"59684.25"	""	
18	""	"59709.85"	""	
18	""	"59732.03"	""	
18	""	"59751.41"	""	
18	""	"59768.39"	""	
18	""	"59783.42"	""	
18	""	"59796.72"	""	
18	""	"59808.57"	""	
18	""	"59819.14"	""	
18	""	"59828.61"	""	
18	""	"59837.27"	""	
18	""	"59845.04"	""	
18	""	"59851.99"	""	
18	""	"59858.47"	""	
18	""	"59864.44"	""	
18	""	"59869.65"	""	
18	""	"59874.55"	""	
18	""	"59879.04"	""	
18	""	"59883.26"	""	
18	""	"59887.06"	""	
	""	"59959.560"	""	
10	""	"60668.49"	""	
8	""	"60739.42"	""	
4	""	"60760.87"	""	
6	""	"60820.35"	""	
8	""	"60902.80"	""	
10	""	"60938.97"	""	
14	""	"60891.48"	""	
12	""	"60933.73"	""	
10	""	"60955.88"	""	
8	""	"60957.21"	""	
16	""	"61204.54"	""	
10	""	"61211.43"	""	
14	""	"61225.55"	""	
12	""	"61225.77"	""	
12	""	"61469.21"	""	
10	""	"61714.52"	""	
8	""	"62034.04"	""	
6	""	"62075.55"	""	
6	""	"61469.7"	""	
8	""	"61480.6"	""	
10	""	"61485.34"	""	
8	""	"61785.94"	""	
