g	Prefix	Level (cm-1)	Suffix
2	""	"0.00000"	""	
2	""	"16956.17025"	""	
4	""	"16973.36619"	""	
2	""	"25739.999"	""	
6	""	"29172.837"	""	
4	""	"29172.887"	""	
2	""	"30266.99"	""	
4	""	"30272.58"	""	
2	""	"33200.673"	""	
6	""	"34548.729"	""	
4	""	"34548.764"	""	
8	""	"34586.92"	""	
6	""	"34586.92"	""	
2	""	"35040.38"	""	
4	""	"35042.85"	""	
2	""	"36372.618"	""	
6	""	"37036.752"	""	
4	""	"37036.772"	""	
8	""	"37057.65"	""	
6	""	"37057.65"	""	
18	""	"37059.54"	""	
2	""	"37296.32"	""	
4	""	"37297.61"	""	
2	""	"38012.042"	""	
6	""	"38387.255"	""	
4	""	"38387.268"	""	
8	""	"38399.79"	""	
6	""	"38399.79"	""	
8	"["	"38400.900"	"]"	
10	"["	"38400.904"	"]"	
12	"["	"38401.147"	"]"	
10	"["	"38401.153"	"]"	
2	""	"38540.18"	""	
4	""	"38540.93"	""	
2	""	"38968.51"	""	
6	""	"39200.93"	""	
4	""	"39200.93"	""	
8	""	"39208.98"	""	
6	""	"39208.98"	""	
18	"["	"39209.725"	"]"	
22	"["	"39209.887"	"]"	
2	""	"39298.35"	""	
4	""	"39298.84"	""	
2	""	"39574.85"	""	
6	""	"39728.70"	""	
4	""	"39728.70"	""	
8	""	"39734.16"	""	
6	""	"39734.16"	""	
18	"["	"39734.678"	"]"	
22	"["	"39734.790"	"]"	
2	"["	"39794.479"	"]"	
4	"["	"39794.810"	"]"	
2	""	"39983.27"	""	
6	""	"40090.31"	""	
4	""	"40090.31"	""	
8	""	"40094.19"	""	
6	""	"40094.19"	""	
18	"["	"40094.581"	"]"	
22	"["	"40094.660"	"]"	
2	""	"40136.810"	""	
4	""	"40137.043"	""	
2	""	"40271.396"	""	
6	""	"40348.915"	""	
4	""	"40348.918"	""	
8	"["	"40351.761"	"]"	
6	"["	"40351.761"	"]"	
18	"["	"40352.015"	"]"	
22	"["	"40352.073"	"]"	
2	""	"40382.925"	""	
4	""	"40383.097"	""	
2	""	"40482.236"	""	
6	"["	"40540.093"	"]"	
4	"["	"40540.095"	"]"	
6	"["	"40542.293"	"]"	
8	"["	"40542.293"	"]"	
18	"["	"40542.484"	"]"	
2	"["	"40565.783"	"]"	
4	"["	"40565.913"	"]"	
2	"["	"40641.148"	"]"	
4	"["	"40685.509"	"]"	
6	"["	"40685.509"	"]"	
14	"["	"40687.203"	"]"	
18	"["	"40687.352"	"]"	
2	"["	"40705.344"	"]"	
4	"["	"40705.444"	"]"	
2	"["	"40763.884"	"]"	
6	"["	"40798.642"	"]"	
4	"["	"40798.644"	"]"	
14	"["	"40799.974"	"]"	
18	"["	"40800.091"	"]"	
2	"["	"40814.273"	"]"	
4	"["	"40814.352"	"]"	
2	"["	"40860.648"	"]"	
6	"["	"40888.386"	"]"	
4	"["	"40888.387"	"]"	
14	"["	"40889.452"	"]"	
18	"["	"40889.546"	"]"	
2	"["	"40900.922"	"]"	
4	"["	"40900.985"	"]"	
2	"["	"40938.281"	"]"	
4	"["	"40960.771"	"]"	
6	"["	"40960.771"	"]"	
14	"["	"40961.637"	"]"	
18	"["	"40961.714"	"]"	
2	"["	"40970.976"	"]"	
4	"["	"40971.028"	"]"	
2	"["	"41001.515"	"]"	
6	"["	"41020.000"	"]"	
4	"["	"41020.001"	"]"	
14	"["	"41020.714"	"]"	
18	"["	"41020.777"	"]"	
2	"["	"41028.419"	"]"	
4	"["	"41028.462"	"]"	
2	"["	"41053.701"	"]"	
6	"["	"41069.079"	"]"	
4	"["	"41069.080"	"]"	
14	"["	"41069.674"	"]"	
18	"["	"41069.727"	"]"	
2	"["	"41076.106"	"]"	
4	"["	"41076.141"	"]"	
2	"["	"41097.271"	"]"	
4	"["	"41110.202"	"]"	
6	"["	"41110.202"	"]"	
14	"["	"41110.703"	"]"	
8	"["	"41110.747"	"]"	
10	"["	"41110.748"	"]"	
2	"["	"41116.126"	"]"	
4	"["	"41116.156"	"]"	
2	"["	"41134.023"	"]"	
6	"["	"41144.999"	"]"	
4	"["	"41145.000"	"]"	
14	"["	"41145.425"	"]"	
18	"["	"41145.463"	"]"	
2	"["	"41150.040"	"]"	
4	"["	"41150.066"	"]"	
4	"["	"41174.705"	"]"	
6	"["	"41174.705"	"]"	
14	"["	"41175.070"	"]"	
18	"["	"41175.102"	"]"	
	""	"41449.451"	""	
4	""	"248170"	""	
2	""	"249489"	""	
