Configuration	Term	J	g	Prefix	Level (cm-1)	Suffix	Uncertainty (cm-1)	Lande	Reference
"3d6.4s2"	"a 5D"	"4"	9	""	"0.000"	""	""	"1.50020"	"L11631"
"3d6.4s2"	"a 5D"	"3"	7	""	"415.933"	""	"0.001"	"1.50034"	""
"3d6.4s2"	"a 5D"	"2"	5	""	"704.007"	""	"0.001"	"1.50041"	""
"3d6.4s2"	"a 5D"	"1"	3	""	"888.132"	""	"0.001"	"1.50022"	""
"3d6.4s2"	"a 5D"	"0"	1	""	"978.074"	""	"0.001"	""	""
"3d7.(4F).4s"	"a 5F"	"5"	11	""	"6928.268"	""	"0.001"	"1.40021"	""
"3d7.(4F).4s"	"a 5F"	"4"	9	""	"7376.764"	""	"0.001"	"1.35004"	""
"3d7.(4F).4s"	"a 5F"	"3"	7	""	"7728.060"	""	"0.001"	"1.24988"	""
"3d7.(4F).4s"	"a 5F"	"2"	5	""	"7985.785"	""	"0.001"	"0.99953"	""
"3d7.(4F).4s"	"a 5F"	"1"	3	""	"8154.714"	""	"0.001"	"-0.014"	""
"3d7.(4F).4s"	"a 3F"	"4"	9	""	"11976.239"	""	"0.001"	"1.254"	""
"3d7.(4F).4s"	"a 3F"	"3"	7	""	"12560.934"	""	"0.001"	"1.086"	""
"3d7.(4F).4s"	"a 3F"	"2"	5	""	"12968.554"	""	"0.001"	"0.670"	""
"3d7.(4P).4s"	"a 5P"	"3"	7	""	"17550.181"	""	"0.001"	"1.666"	""
"3d7.(4P).4s"	"a 5P"	"2"	5	""	"17726.988"	""	"0.001"	"1.820"	""
"3d7.(4P).4s"	"a 5P"	"1"	3	""	"17927.382"	""	"0.001"	"2.499"	""
"3d6.4s2"	"a 3P2"	"2"	5	""	"18378.186"	""	"0.001"	"1.506"	""
"3d6.4s2"	"a 3P2"	"1"	3	""	"19552.478"	""	"0.001"	"1.500"	""
"3d6.4s2"	"a 3P2"	"0"	1	""	"20037.816"	""	"0.002"	""	""
"3d6.(5D).4s.4p.(3P*)"	"z 7D*"	"5"	11	""	"19350.891"	""	"0.001"	"1.597"	""
"3d6.(5D).4s.4p.(3P*)"	"z 7D*"	"4"	9	""	"19562.439"	""	"0.001"	"1.642"	""
