Configuration	Term	J	g	Prefix	Level (cm-1)	Suffix	Uncertainty (cm-1)	Lande	Reference
"3p6.4s"	"2S"	"1/2"	2	""	"0.0000"	""	"0.0005"	"2.002295"	"L7185"
"3p6.4p"	"2P*"	"1/2"	2	""	"12985.185724"	""	"0.000002"	""	"L8995"
"3p6.4p"	"2P*"	"3/2"	4	""	"13042.896027"	""	"0.000004"	""	"L8995"
"3p6.5s"	"2S"	"1/2"	2	""	"21026.551"	""	"0.005"	""	"L1792"
"3p6.3d"	"2D"	"5/2"	6	""	"21534.680"	""	"0.005"	""	"L1792"
"3p6.3d"	"2D"	"3/2"	4	""	"21536.988"	""	"0.005"	""	"L1792"
"3p6.5p"	"2P*"	"1/2"	2	""	"24701.382"	""	"0.005"	"0.665"	"L1792"
"3p6.5p"	"2P*"	"3/2"	4	""	"24720.139"	""	"0.005"	""	"L1792"
"3p6.4d"	"2D"	"5/2"	6	""	"27397.077"	""	"0.005"	""	"L1792"
"3p6.4d"	"2D"	"3/2"	4	""	"27398.147"	""	"0.005"	""	"L1792"
"3p6.6s"	"2S"	"1/2"	2	""	"27450.7104"	""	"0.003"	""	"L5770"
"3p6.4f"	"2F*"	"5/2"	6	""	"28127.85"	""	"0.05"	""	"L6096"
"3p6.4f"	"2F*"	"7/2"	8	""	"28127.85"	""	"0.05"	""	"L6096"
"3p6.6p"	"2P*"	"1/2"	2	""	"28999.27"	""	"0.05"	"0.6663"	"L6096"
"3p6.6p"	"2P*"	"3/2"	4	""	"29007.71"	""	"0.05"	"1.3337"	"L6096"
"3p6.5d"	"2D"	"5/2"	6	""	"30185.2439"	""	"0.003"	"1.2004"	"L5770"
"3p6.5d"	"2D"	"3/2"	4	""	"30185.7476"	""	"0.003"	"0.7997"	"L5770"
"3p6.7s"	"2S"	"1/2"	2	""	"30274.2487"	""	"0.003"	"2.0020"	"L5770"
"3p6.5f"	"2F*"	"5/2"	6	""	"30606.73"	""	"0.06"	""	"L6096"
"3p6.5f"	"2F*"	"7/2"	8	""	"30606.73"	""	"0.06"	""	"L6096"
"3p6.5g"	"2G"	"7/2"	8	""	"30617.31"	""	"0.01"	""	"L873"
"3p6.5g"	"2G"	"9/2"	10	""	"30617.31"	""	"0.01"	""	"L873"
"3p6.7p"	"2P*"	"1/2"	2	""	"31069.90"	""	"0.06"	"0.6659"	"L6096"
"3p6.7p"	"2P*"	"3/2"	4	""	"31074.40"	""	"0.06"	"1.3336"	"L6096"
